course_name,skill_name,job_classification,skill_class,revised_job_classification
3C Strategy Content Marketing ชนะสมรภูมิ Content ด้วยกลยุทธ์ 3C,Audience Engagement,Digital and performance marketer,Communication & Insights,Data Analyst
3C Strategy Content Marketing ชนะสมรภูมิ Content ด้วยกลยุทธ์ 3C,Brand Building,Digital and performance marketer,Marketing Strategy & Market Research,Digital and performance marketer
3C Strategy Content Marketing ชนะสมรภูมิ Content ด้วยกลยุทธ์ 3C,Content Creation,Digital and performance marketer,Content Strategy & Creative Production,Digital and performance marketer
3C Strategy Content Marketing ชนะสมรภูมิ Content ด้วยกลยุทธ์ 3C,Content Strategy,Digital and performance marketer,Content Strategy & Creative Production,Digital and performance marketer
3C Strategy Content Marketing ชนะสมรภูมิ Content ด้วยกลยุทธ์ 3C,Social Media,Digital and performance marketer,Social Media & Community Management,Digital and performance marketer
3C Strategy Content Marketing ชนะสมรภูมิ Content ด้วยกลยุทธ์ 3C,Marketing,Digital and performance marketer,Marketing Strategy & Market Research,Digital and performance marketer
6 Martech Categories,Advertising,Digital and performance marketer,Paid Media & Advertising (Performance Marketing),Digital and performance marketer
6 Martech Categories,CRM Systems,Digital and performance marketer,"Technical Skills, Tools & Automation",Business Analyst
6 Martech Categories,Content Planning,Digital and performance marketer,Content Strategy & Creative Production,Digital and performance marketer
6 Martech Categories,Data Management,Digital and performance marketer,Data Management & Governance,Data Analyst
6 Martech Categories,E-Commerce,Digital and performance marketer,E-Commerce & Sales,Digital and performance marketer
6 Martech Categories,Martech Categories,Digital and performance marketer,MarTech & Operational Tools,Digital and performance marketer
8 เอกสารสำคัญทางบัญชี ที่ต้องใช้ในการทำธุรกิจ,Invoice Management,Business Analyst,Financial Analysis & Accounting,Business Analyst
8 เอกสารสำคัญทางบัญชี ที่ต้องใช้ในการทำธุรกิจ,Legal Compliance,Business Analyst,Business Strategy & Domain Knowledge,Business Analyst
AWS: Cloud Essentials and Core Services,AWS S3,Data Engineer,Cloud Security & Architecture,Cybersecurity Specialist
AWS: Cloud Essentials and Core Services,Cloud Computing,Software Developer and Prompt Engineer),Cloud Security & Architecture,Cybersecurity Specialist
AWS: Cloud Essentials and Core Services,Data pipeline,Data Engineer,Data Analytics & Business Intelligence,Business Analyst
AWS: Cloud Essentials and Core Services,Environment Setup,Data Engineer,Cloud & Infrastructure,Data Engineer
AWS: Cloud Essentials and Core Services,IAM Management,Cybersecurity Specialist,Identity & Access Management (IAM),Cybersecurity Specialist
AWS: Cloud Essentials and Core Services,SQL,Database Administrator,Data Security & Privacy,Cybersecurity Specialist
AWS: DevSecOps Fundamentals,AWS S3,Software Developer and Prompt Engineer),Cloud Security & Architecture,Cybersecurity Specialist
AWS: DevSecOps Fundamentals,Cloud Computing,Cybersecurity Specialist,Cloud Security & Architecture,Cybersecurity Specialist
AWS: DevSecOps Fundamentals,Cloud Monitoring,Cybersecurity Specialist,Cloud Security & Architecture,Cybersecurity Specialist
AWS: DevSecOps Fundamentals,Data pipeline,Data Engineer,Data Analytics & Business Intelligence,Business Analyst
