skill_name,skill_class,job_classification,group,,,
7P Framework,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Business Analysis,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Business Domain Understanding,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Business Efficiency,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Business Impact Analysis,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Business Model Canvas,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Business Planning,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Business Process Analysis,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Business Strategies,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Competitive Analysis,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Key Activities,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Legal Compliance,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Online business,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Revenue Models,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Revenue Streams,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Strategic Decision-Making,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Transportation Planning,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Value Propositions,Business Strategy & Domain Knowledge,Business Analyst,"Business, Strategy & Finance",,,
Analysis Techniques,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
Non-Functional Requirements,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
Requirement Elicitation,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
Requirement Gathering,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
Requirements Analysis,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
Software Requirements Specification,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
Solution Development,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
Solution Evaluation,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
System Analysis,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
System Design,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
Traceability,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
UML Modeling,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
Use Case,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
Use Case Analysis,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
User Story,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
User Story Creation,Requirements Engineering & System Analysis,Business Analyst,Software Engineering & Development,,,
Business Analytics,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Business Intelligence,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Chart Types,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Data Collection,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Data Connection,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Data Decision Making,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Data Dictionary,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Data Integration,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Data pipeline,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Data Products,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Data Tools,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Data Utilization,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Data Visualization,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Data-Driven Decision Making,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Insights,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Success Metrics,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Workforce Analytics,Data Analytics & Business Intelligence,Business Analyst,"Data, Analytics & AI",,,
Accounting Terminology,Financial Analysis & Accounting,Business Analyst,"Business, Strategy & Finance",,,
Budget Management,Financial Analysis & Accounting,Business Analyst,"Business, Strategy & Finance",,,
Cost Analysis,Financial Analysis & Accounting,Business Analyst,"Business, Strategy & Finance",,,
Debt Management,Financial Analysis & Accounting,Business Analyst,"Business, Strategy & Finance",,,
Financial Analysis,Financial Analysis & Accounting,Business Analyst,"Business, Strategy & Finance",,,
Financial Planning,Financial Analysis & Accounting,Business Analyst,"Business, Strategy & Finance",,,
Fund Planning,Financial Analysis & Accounting,Business Analyst,"Business, Strategy & Finance",,,
Investment Planning,Financial Analysis & Accounting,Business Analyst,"Business, Strategy & Finance",,,
Investment Strategies,Financial Analysis & Accounting,Business Analyst,"Business, Strategy & Finance",,,
Invoice Management,Financial Analysis & Accounting,Business Analyst,"Business, Strategy & Finance",,,
Return Analysis,Financial Analysis & Accounting,Business Analyst,"Business, Strategy & Finance",,,
Tax Benefit,Financial Analysis & Accounting,Business Analyst,"Business, Strategy & Finance",,,
Tax Planning,Financial Analysis & Accounting,Business Analyst,"Business, Strategy & Finance",,,
Agile Method,Project Management & Agile Methodologies,Business Analyst,Project & Product Management,,,
Change Management,Project Management & Agile Methodologies,Business Analyst,Project & Product Management,,,
Continuous Improvement,Project Management & Agile Methodologies,Business Analyst,Project & Product Management,,,
Evaluation Design,Project Management & Agile Methodologies,Business Analyst,Project & Product Management,,,
Kanban Principles,Project Management & Agile Methodologies,Business Analyst,Project & Product Management,,,
Project Management,Project Management & Agile Methodologies,Business Analyst,Project & Product Management,,,
Project Management Skills,Project Management & Agile Methodologies,Business Analyst,Project & Product Management,,,
